session_id,user_id,email,persona,geo_location,client_type,total_requests,session_duration_sec,requests_per_minute,failed_login_count,error_ratio,error_4xx_count,error_5xx_count,unique_endpoints,endpoint_entropy,has_admin_access,admin_action_count,wallet_action_count,wallet_action_ratio,transfer_count,topup_count,withdraw_count,pay_bill_count,financial_error_count,avg_think_time_ms,std_think_time_ms,avg_response_time_ms,min_think_time_ms
df145d3c-d5d2-4371-a1da-295955230536,u_1025,brucefreeman@example.org,casual,Medina,web,6,27.09,13.29,0,0.1667,1,0,6,2.585,0,0,1,0.1667,0,0,1,0,1,6243.4,2370.97,6.33,3334
9fcfc888-0687-45eb-9fc6-0e5e4877ef27,u_1002,hanan.alharbi@gmail.com,transactor,Riyadh,android,8,18.78,25.57,0,0.125,1,0,6,2.4056,0,0,4,0.5,0,0,0,3,0,3068.71,1038.6,11.62,1635
c844cd6e-cf67-492e-b022-8886ae7ba85b,u_1073,qanthony@example.com,transactor,Taif,android,6,13.08,27.53,0,0.0,0,0,4,1.7925,0,0,1,0.1667,0,0,1,0,0,3516.4,1065.28,9.5,1624
eb6f36df-8788-4972-acfc-5f36497dbd69,u_1042,brian14@example.net,power_user,Buraidah,ios,15,20.62,43.65,0,0.0,0,0,10,3.1899,0,0,10,0.6667,2,2,1,2,0,1589.43,499.68,9.13,870
bf084e8e-0bef-4be5-a1e6-990d1b9c558f,admin_1,admin@rasd.local,admin,Buraidah,android,7,5.27,79.73,0,0.0,0,0,5,2.2359,1,7,0,0.0,0,0,0,0,0,1185.5,434.56,16.43,657
7d3ee1c1-0c6f-4cde-ab44-cb00b86cf6df,admin_1,admin@rasd.local,admin,Mecca,ios,37,46.52,47.72,0,0.0,0,0,6,2.132,1,37,0,0.0,0,0,0,0,0,1316.03,379.66,14.62,648
96d9f0b2-c53a-455d-a59a-99ae0e8b7a44,u_1004,user@example.com,transactor,Jeddah,android,11,30.07,21.95,0,0.0909,1,0,7,2.5503,0,0,9,0.8182,1,1,4,2,0,3278.7,1202.04,11.82,1164
4d6359ef-f8bc-4f37-9302-4fafe9218fc8,u_1043,amy95@example.com,transactor,Dammam,android,6,12.97,27.75,0,0.0,0,0,5,2.2516,0,0,3,0.5,0,0,0,2,0,3430.6,563.4,9.17,2630
8866080e-6bad-4797-87ec-0d500960b8d9,u_1019,morganserrano@example.net,casual,Jeddah,web,8,57.65,8.33,0,0.0,0,0,7,2.75,0,0,4,0.5,1,0,0,2,0,9125.57,1978.45,8.5,6329
57ed62d1-b8ba-451b-8a76-51b870e45035,u_1056,reginaburnett@example.org,transactor,Tabuk,ios,7,17.64,23.81,0,0.2857,2,0,5,2.1281,0,0,4,0.5714,0,0,3,1,0,3366.67,1318.45,10.86,1231
