session_id,user_id,persona,email,geo_location,client_type,start_time,end_time,duration_seconds,num_requests,num_2xx,num_4xx,num_5xx,num_400,num_401,num_403,num_404,error_ratio,admin_requests,auth_requests,wallet_requests,failed_logins,unique_endpoints,unique_methods,avg_response_time_ms,max_response_time_ms,avg_think_time_ms,requests_per_second,suspicious_flags,actions_list
0083c0a6-8a12-48f2-ab0c-1a857bc3f6be,u_1184,casual,wendywood@example.com,Buraidah,web,2026-03-08 23:32:19.519303+00:00,2026-03-08 23:32:36.213134+00:00,16.69,5,5,0,0,0,0,0,0,0.0,0,4,0,0,4,2,30.6,73,5641.4,0.2996,0,"sign_in, auth_me, auth_me, payments, sign_out"
0149f975-260e-4bd2-83a2-77358e643489,u_1167,power_user,vanessa22@example.org,Khobar,ios,2026-03-08 23:32:18.045802+00:00,2026-03-08 23:32:37.437475+00:00,19.39,14,8,5,1,5,0,0,0,0.4286,0,4,9,0,8,2,24.86,59,1434.29,0.722,0,"sign_in, pay_bill, wallet_view, wallet_view, transfer, withdraw, auth_me, pay_bill, wallet_view, payments, auth_me, withdraw, pay_bill, sign_out"
021601c4-4ee6-45c7-afe1-da2d8389085e,u_1201,confused,scottrobinson@example.net,Mecca,ios,2026-03-08 23:33:47.757430+00:00,2026-03-08 23:34:10.566199+00:00,22.81,4,4,0,0,0,0,0,0,0.0,0,2,2,0,4,2,34.5,80,10924.25,0.1754,0,"sign_in, wallet_view, topup, sign_out"
0318987c-17c2-4f2c-87ef-aca5e626a9bc,unknown,casual,daniel50@example.org,Abha,android,2026-03-08 23:28:42.634089+00:00,2026-03-08 23:28:45.514325+00:00,2.88,16,8,8,0,0,8,0,0,0.5,4,12,1,4,7,2,14.44,35,0.0,5.5556,0,"failed_login_suspicious, failed_login_suspicious, failed_login_suspicious, failed_login_suspicious, sign_in_suspicious, admin_probe, admin_probe, admin_probe, admin_probe, auth_me_suspicious, auth_me_suspicious, auth_me_suspicious, auth_me_suspicious, auth_me_suspicious, auth_me_suspicious, sign_out_suspicious"
03326d13-860e-4db2-8ea2-aaa374872972,unknown,power_user,christopheryoung@example.com,Mecca,android,2026-03-08 23:32:18.748805+00:00,2026-03-08 23:32:22.314177+00:00,3.57,13,5,7,1,0,7,0,0,0.6154,4,9,1,4,7,2,21.77,48,0.0,3.6415,0,"failed_login_suspicious, failed_login_suspicious, failed_login_suspicious, failed_login_suspicious, sign_in_suspicious, admin_probe, admin_probe, admin_probe, admin_probe, auth_me_suspicious, auth_me_suspicious, auth_me_suspicious, sign_out_suspicious"
03eed93b-e32d-440d-aa7d-99bb85d31d61,u_1219,confused,kirkcurtis@example.com,Mecca,ios,2026-03-08 23:35:05.565487+00:00,2026-03-08 23:35:21.064796+00:00,15.5,3,3,0,0,0,0,0,0,0.0,0,2,0,0,3,2,56.0,85,12828.0,0.1935,0,"sign_in, hello, sign_out"
0459f660-ad02-4f6a-a25a-12c209bc166b,u_1176,transactor,epatterson@example.org,Riyadh,android,2026-03-08 23:31:03.319669+00:00,2026-03-08 23:31:31.585604+00:00,28.27,10,7,3,0,3,0,0,0,0.3,0,3,5,0,9,3,23.2,48,3118.9,0.3537,0,"sign_in, withdraw, transfer, update_profile, transfer, auth_me, hello, wallet_view, topup, sign_out"
04a02e12-7d8d-41bb-84e9-e5c9f0ad4dd0,u_1194,casual,jessica60@example.net,Taif,web,2026-03-08 23:29:18.075290+00:00,2026-03-08 23:29:49.959373+00:00,31.88,7,5,2,0,2,0,0,0,0.2857,0,4,2,0,6,2,24.14,76,5207.57,0.2196,0,"sign_in, auth_me, transfer, bank_accounts, transfer, auth_me, sign_out"
051354f5-3eef-4cf7-b5b8-0eb532bd5cea,u_1163,casual,christopheryoung@example.com,Mecca,android,2026-03-08 23:34:41.088332+00:00,2026-03-08 23:35:02.619047+00:00,21.53,5,4,1,0,1,0,0,0,0.2,0,3,2,0,5,2,41.4,78,6238.2,0.2322,0,"sign_in, auth_me, transfer, wallet_view, sign_out"
0520bbbb-e4d5-4538-835b-39277b2065d3,u_1177,casual,donaldsmith@example.org,Khobar,ios,2026-03-08 23:30:01.024040+00:00,2026-03-08 23:30:02.176202+00:00,1.15,13,5,7,1,7,0,0,0,0.6154,0,2,11,0,7,1,26.54,68,0.0,11.3043,0,"sign_in_fraud, transfer_fraud, transfer_fraud, transfer_fraud, topup_fraud, withdraw_fraud, pay_bill_fraud, withdraw_fraud, pay_bill_fraud, pay_bill_fraud, transfer_fraud, topup_fraud, sign_out_fraud"
