session_id,user_id,email,persona,geo_location,client_type,total_requests,session_duration_sec,requests_per_minute,failed_login_count,error_ratio,error_4xx_count,error_5xx_count,unique_endpoints,endpoint_entropy,has_admin_access,admin_action_count,wallet_action_count,wallet_action_ratio,transfer_count,topup_count,withdraw_count,pay_bill_count,financial_error_count,avg_think_time_ms,std_think_time_ms,avg_response_time_ms,min_think_time_ms
16ddc95f-3eef-4d17-beaa-990c74df74d5,unknown,taif.alsaadi@gmail.com,transactor,Mecca,web,15,3.09,290.94,4,0.5333,8,0,7,2.3589,1,4,0,0.0,0,0,0,0,0,0.0,0.0,20.13,0
3ac83ed4-f3d9-4257-8e9b-4f9e1919807a,u_1181,wgarcia@example.com,casual,Mecca,android,12,1.04,690.08,0,0.5833,6,1,7,2.2925,0,0,0,0.0,0,0,0,0,0,0.0,0.0,26.25,0
3ba2d9f7-05a6-4bd2-b521-5e4e40dd171f,u_1179,gordondaniel@example.net,transactor,Tabuk,android,10,26.75,22.43,0,0.6,6,0,7,2.6464,0,0,6,0.6,1,0,2,3,0,3118.67,1196.59,20.0,1135
772ed957-cbb8-43e1-90fd-52e21b302131,unknown,vanessa22@example.org,transactor,Khobar,ios,8,14.59,32.89,1,0.375,3,0,6,2.5,0,0,3,0.375,1,0,1,0,0,2241.0,840.37,19.62,1169
3d768542-5eb1-4fba-8313-a59f9ae13bd1,admin_1,admin@rasd.local,admin,Khobar,web,22,32.43,40.7,0,0.0455,0,1,6,2.1536,1,22,0,0.0,0,0,0,0,0,1605.81,506.47,30.09,647
4e48affb-ea87-45da-97cb-454d46841933,u_1206,elliottrussell@example.org,casual,Riyadh,web,5,24.91,12.05,0,0.0,0,0,5,2.3219,0,0,1,0.2,0,0,0,0,0,7334.75,2710.34,19.0,4525
0318987c-17c2-4f2c-87ef-aca5e626a9bc,unknown,daniel50@example.org,casual,Abha,android,16,2.88,333.31,4,0.5,8,0,7,2.305,1,4,0,0.0,0,0,0,0,0,0.0,0.0,14.44,0
acbf9bee-d052-45b4-846c-0531fcd66b15,u_1186,steinmary@example.org,casual,Mecca,web,6,42.05,8.56,0,0.0,0,0,5,2.2516,0,0,2,0.3333,0,1,0,0,0,9722.0,1734.31,14.17,6639
c0781358-1174-47ae-8e2c-b2d63935d8b1,u_1169,sharon46@example.com,casual,Buraidah,web,7,32.65,12.86,0,0.1429,1,0,6,2.5216,0,0,3,0.4286,0,0,0,1,0,6083.17,2106.41,18.57,3381
c2cbb39e-b272-4402-a288-bf0290a87981,u_1215,stevenskyle@example.org,casual,Buraidah,android,7,40.5,10.37,0,0.1429,1,0,7,2.8074,0,0,2,0.2857,0,0,0,1,0,7433.33,3018.65,21.0,3702
2bf161e8-29df-4d4e-856a-e6b38a749f81,u_1170,lford@example.com,casual,Dammam,android,5,27.35,10.97,0,0.0,0,0,5,2.3219,0,0,1,0.2,0,1,0,0,0,8424.75,1515.41,13.0,6406
d21590fd-9a59-4278-bd43-b135e3aef169,u_1172,stanleyjacqueline@example.com,casual,Medina,web,4,12.0,19.99,0,0.0,0,0,4,2.0,0,0,1,0.25,0,0,0,0,0,5765.67,607.08,17.0,5320
b6458718-eb84-469a-a234-a8a866af4798,unknown,jamesjoseph@example.com,power_user,Riyadh,android,15,3.71,242.55,6,0.6667,10,0,7,2.2798,1,4,0,0.0,0,0,0,0,0,0.0,0.0,17.93,0
3116ce09-c0d4-4886-8fa4-857b0c6d5026,u_1197,courtney55@example.org,casual,Medina,ios,6,36.33,9.91,0,0.1667,1,0,6,2.585,0,0,2,0.3333,1,0,0,0,0,7995.2,2799.66,17.17,3740
31a34b84-9d37-479d-a77c-eee458d5ad1d,u_1212,breanna84@example.com,power_user,Buraidah,android,11,14.09,46.85,0,0.4545,5,0,9,3.0958,0,0,6,0.5455,2,0,2,1,0,1556.1,413.82,22.09,989
09b51bae-c5fe-4a04-8a08-c365f710ec3b,u_1184,wendywood@example.com,transactor,Buraidah,web,12,27.73,25.96,0,0.1667,0,2,9,3.0221,0,0,6,0.5,0,3,1,0,0,2936.89,1241.56,21.08,1260
7fb7298b-dd26-4487-b62d-63bc952170fc,u_1170,lford@example.com,casual,Dammam,android,5,13.35,22.47,0,0.0,0,0,5,2.3219,0,0,0,0.0,0,0,0,0,0,5397.0,1731.34,25.0,3963
7e5c4a13-3a14-4808-bd6a-5fdf1a5dceff,u_1193,jamesjoseph@example.com,casual,Riyadh,android,7,28.49,14.74,0,0.0,0,0,4,1.8424,0,0,3,0.4286,0,0,0,0,0,6374.83,2916.11,19.14,3594
de41e804-8204-4073-a59a-09ce95b0aa98,unknown,daniel50@example.org,power_user,Abha,android,18,3.86,280.15,7,0.6111,11,0,7,2.1916,1,4,0,0.0,0,0,0,0,0,0.0,0.0,16.17,0
48b34b61-b2b9-4d7f-82c8-7b380077b92c,u_1161,kennedymatthew@example.net,casual,Buraidah,web,6,34.71,10.37,0,0.0,0,0,6,2.585,0,0,1,0.1667,0,0,0,0,0,8327.8,2354.68,16.5,4834
657956ba-9ddf-4702-8fdc-0acbd62553b2,u_1202,christophersantos@example.net,confused,Riyadh,web,5,38.47,7.8,0,0.0,0,0,4,1.9219,0,0,1,0.2,0,1,0,0,0,12112.5,1285.22,24.6,10096
06fe528c-55fd-4552-9929-8ec6bd9407c8,u_1217,brandon96@example.org,casual,Jeddah,ios,5,19.44,15.43,0,0.0,0,0,5,2.3219,0,0,2,0.4,0,1,0,1,0,7166.75,2566.19,20.6,3044
2eff9627-7035-40f3-a8c1-9b1a0183a3af,unknown,echen@example.net,casual,Riyadh,android,17,3.43,297.79,6,0.5882,10,0,7,2.2486,1,4,0,0.0,0,0,0,0,0,0.0,0.0,19.29,0
442d5f8c-a7c8-4397-85e4-8e4e50a701a0,u_1218,savannah52@example.net,power_user,Buraidah,web,11,17.08,38.63,0,0.1818,2,0,7,2.6635,0,0,6,0.5455,0,1,0,2,0,1873.6,385.88,17.55,1066
61e2fd97-f75b-4a72-9565-7855f19e9dc9,u_1213,ogutierrez@example.net,confused,Medina,web,4,47.06,5.1,0,0.0,0,0,4,2.0,0,0,0,0.0,0,0,0,0,0,23028.0,1074.43,11.75,22068
80b0d8d1-ab63-455f-882b-993ba48a58c6,u_1206,elliottrussell@example.org,casual,Riyadh,web,7,35.48,11.84,0,0.0,0,0,6,2.5216,0,0,2,0.2857,0,1,0,0,0,6763.83,1706.58,20.29,5135
e9ea4d7f-9a0a-4814-8224-b81caf468fc4,u_1223,hruiz@example.com,transactor,Buraidah,web,9,19.87,27.18,0,0.1111,1,0,8,2.9477,0,0,3,0.3333,0,1,0,1,0,2934.0,1066.66,26.44,1194
8e5023be-df61-48d2-9d39-c92540e06b0d,u_1183,laurendavis@example.net,transactor,Tabuk,android,10,24.13,24.87,0,0.1,1,0,8,2.9219,0,0,6,0.6,1,2,1,0,0,2970.44,1256.91,19.6,1078
111de541-d724-484d-a607-fb08ddd33dfa,u_1198,ithomas@example.com,casual,Jeddah,web,7,29.35,14.31,0,0.1429,1,0,7,2.8074,0,0,1,0.1429,0,0,1,0,0,6279.17,2059.15,19.29,3828
715dfcc1-3825-4013-b6e1-dfee5b9c477c,u_1199,walkeralison@example.org,transactor,Taif,ios,6,16.99,21.19,0,0.0,0,0,5,2.2516,0,0,4,0.6667,0,2,1,0,0,4076.2,837.64,24.0,2716
04a02e12-7d8d-41bb-84e9-e5c9f0ad4dd0,u_1194,jessica60@example.net,casual,Taif,web,7,31.88,13.17,0,0.2857,2,0,6,2.5216,0,0,2,0.2857,2,0,0,0,0,6075.5,1529.0,24.14,3917
3488eb26-14f4-4bf4-9e79-55a7f77b8595,unknown,mwalton@example.org,power_user,Abha,android,17,4.56,223.58,6,0.5882,10,0,7,2.2486,1,4,0,0.0,0,0,0,0,0,0.0,0.0,18.29,0
ee95de8b-4426-46ad-a2f0-c0e013f486ac,u_1191,michael01@example.com,transactor,Buraidah,ios,7,12.47,33.68,0,0.5714,4,0,6,2.5216,0,0,5,0.7143,1,0,2,1,0,2873.83,1231.05,18.86,1063
9a66cbbb-05d1-4471-b4d4-d19a5b51e75a,u_1202,christophersantos@example.net,casual,Riyadh,web,6,27.01,13.33,0,0.0,0,0,4,1.7925,0,0,0,0.0,0,0,0,0,0,6334.6,2248.46,15.17,3357
c64f943e-43f4-4da9-9984-6c42d6a8f59e,u_1208,emily74@example.org,casual,Abha,ios,6,28.41,12.67,0,0.0,0,0,5,2.2516,0,0,1,0.1667,0,1,0,0,0,6355.8,2699.92,22.5,3499
